heure,zone,catr,grav,lat,long
08,1,3,1,49.277381,0.077076
08,1,3,3,49.277381,0.077076
06,1,3,4,43.41784486,-0.44215682
11,1,3,1,46.871422,2.417883
11,1,3,2,46.871422,2.417883
16,1,3,3,48.239681,4.303679
16,1,3,4,48.239681,4.303679
14,1,3,3,44.363547,4.478452
14,1,3,4,44.363547,4.478452
12,1,3,2,46.903911,4.697278
15,1,3,3,46.48972,-1.44409
12,1,3,4,46.77526,-0.899123
18,1,3,1,49.376578,1.679053
18,1,3,4,49.376578,1.679053
17,1,3,1,48.447035,1.307409
17,1,3,2,48.447035,1.307409
22,1,1,1,47.577215,7.559948
22,1,1,3,47.577215,7.559948
12,1,3,3,46.26328104,4.79358159
08,2,3,1,45.5753,4.807999
08,2,3,3,45.5753,4.807999
08,2,3,4,45.5753,4.807999
17,2,4,1,43.767817,1.667154
17,2,4,4,43.767817,1.667154
03,2,3,1,47.08605,-1.067744
03,2,3,3,47.08605,-1.067744
15,2,3,1,48.932981,1.44011
15,2,3,4,48.932981,1.44011
10,1,4,1,49.060349,0.999177
10,1,4,3,49.060349,0.999177
06,1,3,1,49.22019,2.041333
06,1,3,3,49.22019,2.041333
23,2,7,1,43.29209,5.3658
23,2,7,4,43.29209,5.3658
21,1,1,4,43.37594795,5.20048333
18,1,1,1,44.884579,-0.56018
18,1,1,4,44.884579,-0.56018
05,1,1,1,48.95729336,2.46118963
05,1,1,4,48.95729336,2.46118963
07,1,1,1,48.99086233,2.1941238
07,1,1,4,48.99086233,2.1941238
17,1,1,1,48.99450871,2.51546055
17,1,1,3,48.99450871,2.51546055
01,1,1,4,48.82648029,2.52228801
14,2,4,1,47.20688936,-1.57360696
14,2,4,4,47.20688936,-1.57360696
17,2,4,1,47.18779335,-1.52066764
17,2,4,4,47.18779335,-1.52066764
06,2,4,1,47.1981268,-1.59649434
06,2,4,4,47.1981268,-1.59649434
06,2,4,1,47.17970226,-1.55868421
06,2,4,4,47.17970226,-1.55868421
19,2,4,1,47.25824862,-1.51519405
19,2,4,4,47.25824862,-1.51519405
22,2,4,1,47.21110324,-1.54506245
22,2,4,4,47.21110324,-1.54506245
10,2,4,1,47.25256521,-1.61821724
10,2,4,4,47.25256521,-1.61821724
20,2,4,1,48.835006,2.261347
20,2,4,4,48.835006,2.261347
11,1,2,3,-21.3072,55.4987
13,1,2,1,-20.94375,55.64919
13,1,2,4,-20.94375,55.64919
15,2,3,1,4.94354,-52.31873
15,2,3,4,4.94354,-52.31873
13,1,1,3,14.6158,-61.01445
12,1,2,1,14.63921,-61.0554
12,1,2,4,14.63921,-61.0554
13,1,3,1,16.26218,-61.49278
13,1,3,4,16.26218,-61.49278
19,2,4,1,49.0243,2.463
19,2,4,4,49.0243,2.463
16,2,3,4,48.9763907,2.24555321
12,2,4,1,49.01158306,2.24338084
12,2,4,4,49.01158306,2.24338084
